a	e i
Agnew	ɛ g n j u
Agoura	a g u l a
Agra	a g l a
Agri	a l i
Agricola	a g l i k o l l a
Aguanga	a g u a ŋ g a
Aguascalientes	a g u a s k a l i e n t e s
Aguila	a g w i l l a
Aguilar	a g w i l l a
Ahnapee	a n a p i
Ahoskie	a h o s k i
Ahualoa	a h u a l l o a
Ahwahnee	a w a n i
AIDS	e i d
Aiken	e i k ʌ n
Ailey	e i l l i
Aims	e i m s
Ainsworth	e i n s w ʌ s
air	e ʌ
airbnb	e ʌ b i ɛ n b i
Airlie	e ʌ l a i
Airmont	e ʌ m o n t
Airpoint	e ʌ p o i n t
Aitkin	e i t k i n
Ajax	e i d ɛ k s
Akan	a k a n s o
Akaroa	a k a l o a
Akers	e i k ʌ s
Akita	a k i t a
Aklavik	ʌ k l l a b i k
Akron	ɛ k l ʌ n
Aktau	a k t a u
Akutan	a k u t a n
Alabama	ɛ l l a b ɛ m a
Alachua	ɛ l l a t u a
Aladdin	a l l a d i n
Alamana	ɛ l l a m a n a
Alameda	ɛ l l ʌ m i d a
Alamo	a l l a m o
Alamogordo	ɛ l l a m o g o d o
Alamosa	ɛ l l a m o s a
Alapaha	a l l a p a h a
alarm	a l l a m
Alaska	a l l ɛ s k a
Alba	a l b a
Alban	a l b a n
Albania	a l b a n i a
Albany	a l b a n i
Albatross	ɛ l b ʌ t l o s
Albee	ɛ l b i
Albemarle	ɛ l b ʌ m a l
Albert	ɛ l b ʌ t
Alberta	ɛ l b ʌ t a
Alberton	ɛ l b ʌ t ʌ n
Albertville	ɛ l b ʌ t b i l
Albia	ɛ l b i a
Albin	ɛ l b i n
albino	a l b i n o
Albion	a l b i o n
Albright	o l b l a i t
album	ɛ l b ʌ m
Albuquerque	ɛ l b ʌ k ʌ k j u
Albury	ɛ l b ʌ l i
Alcoa	a l k o a
alcohol	a l k o o l
Alcolu	a l k o l l u
aldehyde	a l d e h i d
Alden	o l d ʌ n
Alder	ɛ l d ʌ
Alderley	ɛ l d ʌ l l i
Alderpoint	ɛ l d ʌ p o i n t
Alderson	ɛ l d ʌ s n
Aldora	a l d o l a
Aldrich	a l d l i t i
Aledo	a l l e d o
Aleknagik	a l l e k n a g i k
Alesia	a l l e s i a
Alex	a l l e k s
Alexander	a l l e k s a n d ʌ
Alexandra	a l l e k s a n d l a
Alexandria	a l l e k s a n d l i a
Alexis	a l l e k s i s
Alfalfa	a l p a l p a
Alford	a l p ʌ d
Alfred	a l p l e d
ALGOL	a l g o l
Algona	ɛ l g o n a
algorithm	a l g o l i d m
Alhambra	ɛ l h ɛ m b l a
alibi	a l l i b a i
Alicante	a l l i k a n t e
Alice	ɛ l l i s
Aliceville	ɛ l l i s b i l
Alicia	a l l i s i a
alien	e i l l i ʌ n
Aline	ɛ l l a i n
Alipay	a l l i p e i
Aliquippa	ɛ l l i k w i p a
alive	ʌ l l a i b
alkali	a l k a l l i
alkaloid	a l k a l l o i d
Alkol	a l k o o l
all	o l
Allagash	a l l a g a s i
Allah	a l l a
Allakaket	a l l a k a k e t
Alledonia	a l l e d o n i a
Allegan	ɛ l l ʌ g a n
Allegany	ɛ l l ʌ g a n i
Alleghany	ɛ l l ʌ g e n i
allegory	a l l e g o l i
Alleman	e i l m ɛ n
Allen	ɛ l l ʌ n
Allendale	ɛ l l ʌ n d e i l
Allenhurst	ɛ l l ʌ n h ʌ s t
Allensworth	ɛ l l ʌ n s w ʌ s
Allentown	ɛ l l e n t a u n
Allergen	a l l e l g e n
allergie	a l l e l g i
Allerton	ɛ l l ʌ t ʌ n
Allgood	o l g u t
Alliance	ʌ l l a i ʌ n s
Allison	ɛ l l i s n
Alloy	a l l o i
Allport	o l p o t
Allyn	a l l e i n
Alma	ɛ l m a
Almaty	a l m a t i
Almeria	ɛ l m ʌ l i a
Almira	a l m i l a
Almo	ɛ l m o
Almon	ɛ l m ʌ n
almond	a m o n d
Almond	a l m o n d
Almont	a l m o n t
almost	o l m o s t
Almyra	a l m i l a
Alna	ɛ l l ʌ
aloe	a l l o e
Alpena	ɛ l p i n ʌ
Alpha	a l p a
AlphaGo	a l p a g o
Alpharetta	a l p a l e t a
Alpine	a l p a i n
Alpoca	a l p o k a
Alread	a l l i d
Alsen	a l s n
Alsop	ɛ l s o p
Alta	a l t a
Altair	a l t e ʌ
Altamont	a l t a m o n t
altavista	a l t a b i s t a
Altavista	a l t a b i s t a
Altha	a l t a
Altheimer	ɛ l s e i m ʌ
Altitude	ɛ l t i t j u d
alto	a l t o
Alto	ɛ l t o
Alton	ʌ l t ʌ n
Altona	a l t o n a
altruism	ɛ l t l u i d m
Altura	ɛ l t u l a
Alturas	ɛ l t u l ʌ s
Altus	ɛ l t u s
altvore	a l t b o ʌ
aluminium	a l l u m i n j u m
Alva	ɛ l b a
Alvada	ɛ l b ʌ d a
Alvarado	a l b a l a d o
Alvin	ɛ l b i n
always	o l w e i d
Aly	ɛ l l i
Alzada	a l d a d a
AM	e i e m
Amador	a m a d o l
Amagon	a m a g o n
Amalia	a m a l l i a
Amanda	a m a n d a
Amarillo	a m a l i l l o
amaryllis	a m a l i l l i s
amateur	a m a t u ʌ
Amateur	a m a t u ʌ
amazon	a m a d o n
Amazon	a m a d o n
Amber	ɛ m b ʌ
Ambia	ɛ m b i a
Ambler	ɛ m b l l ʌ
Amboy	ɛ m b o i
Ambridge	ɛ m b l i d i
Ambrose	ɛ m b l o d
ambulance	ɛ m b l l ʌ n s
Amelia	a m e l l i a
amen	a m e n
Amenia	a m e n i a
America	a m e l i k a
Americana	a m e l i k a n a
Americanism	a m e l i k a d m
americium	a m e l i s j u m
Americus	a m e l i k ʌ s
Amery	ɛ m ʌ l i
Ames	e i m s
Amesbury	e i m d b e l i
Amherst	ɛ m ʌ s t
Amidon	ɛ m i d ʌ n
Amigo	a m i g o
Amish	ɛ m i s i
Amissville	a m i s b i l
Amistad	a m i s t a d
Amite	e i m i t
Amity	a m i t i
Amlin	ɛ m l l i n
Amma	ɛ m a
Amman	a m m a n
Ammon	a m m o n
ammonia	a m m o n i a
Amo	a m o
amoeba	a m e b a
amore	a m o l e
Amorita	a m o l i t a
Amory	e i m o l i
Amos	a m o s
amp	ɛ m p
ampere	a m p e ʌ
ampoule	ɛ m p l
Amsden	ɛ m s d ʌ n
Amsterdam	a m s t e l d a m
amuse	ʌ m j u d
Anabel	ɛ n ʌ b e l
Anaconda	ɛ n ʌ k o n d a
Anacortes	a n a k o t e s
Anadarko	ɛ n ʌ d a k o
ANADOLU	a n a d o l l u
anagram	ɛ n ʌ g l ɛ m
Anaheim	ɛ n ʌ h a i m
Anahuac	a n a u a k
analog	a n a l l o g
analytics	ɛ n ʌ l l i t i k s
Ananova	a n a n o b a
Anapa	a n a p a
Ancho	ɛ n t o
anchor	ɛ ŋ k ʌ
Anchorage	ɛ ŋ k ʌ l i d i
Anco	ɛ n k o
Ancona	a n k o n a
and	ɛ n d
Andale	ɛ n d e i l
Andalusia	a n d a l l u s i a
Anderson	ɛ n d ʌ s n
Andersonville	ɛ n d ʌ s n b i l
Andes	a n d e s
Anding	ɛ n d i ŋ
Andover	ɛ n d o b ʌ
Andree	ɛ n d l i
Andres	a n d l e s
Andrew	ɛ n d l u
Andrews	ɛ n d l u s
android	a n d l o i d
Android	a n d l o i d
Aneta	a n e t a
angel	e n d e l
Angelica	ɛ n d e l l i k a
Angelo	a n d e l l o
Angier	ɛ n d i ʌ
angle	ɛ ŋ g l
Angola	a ŋ g o l l a
Angoon	a n g u n
angora	a ŋ g o l a
Angora	ɛ ŋ g o l a
Anguilla	ɛ ŋ g i l l a
Angus	ɛ ŋ g ʌ s
animal	ɛ n i m e l
Animas	ɛ n i m ʌ s
animation	ɛ n i m e i s j ʌ n
Anita	ɛ n i t a
Ankara	a ŋ k a l a
Ankeny	a ŋ k i n i
Anna	ɛ n a
Annabella	ɛ n a b e l l a
Annandale	ɛ n ʌ n d e i l
Annapolis	a n a p o l l i s
Anniston	ɛ n i s t ʌ n
Annona	a n o n a
announcer	a n a u n s ʌ
Annsville	ɛ n d b i l
Annville	ɛ n b i l
Anoka	ɛ n ʌ k a
Anonymous	ʌ n a n i m ʌ s
Anson	ɛ n s n
Ansonia	ɛ n s o n i a
Antalya	a n t a l j a
Antelope	ɛ n t ʌ l l o p
antenna	a n t e n a
Anthem	ɛ n t ʌ m
anthology	ɛ n s o l l ʌ d i
Anthon	ɛ n s o n
Anthony	ɛ n s ʌ n i
Antietam	ɛ n t i t ʌ m
Antigo	a n t i g o
Antigua	ɛ n t i g a
Antimony	a n t i m o n i
Antioch	ɛ n t i o k
antique	a n t i k
Antler	ɛ n t l l ʌ
Antlers	ɛ n t l l ʌ s
Antoine	a ŋ t u a n
Anton	ɛ n t ʌ n
Antwerp	ɛ n t j u w ʌ p
Anvik	a n b i k
any	ɛ n i
anywhere	ɛ n i w e ʌ
Anza	a n d a
Aomori	a o m o l i
Apache	a p a t i
Apalachicola	a p a l l a t i k o l l a
apartment	a p a t
aphorism	a p o l i d m
Apollo	a p o l l o
Apopka	a p o p k a
aporia	a p o l i a
app	ɛ p
Appalachia	ɛ p a l l ɛ t i a
appeal	ʌ p i l
apple	ɛ p l
Appleby	ɛ p l b i
Applegate	ɛ p l g e i t
applet	ɛ p l l i t
Appleton	ɛ p l t ʌ n
application	ɛ p l l i k e i s j ʌ n
Appling	ɛ p l l i ŋ
Appomattox	a p o m ɛ t t o k s
apt	ɛ p t
AQ	e i k j u
Aqaba	a k a b a
Aquasco	a k u a s k o
aquatint	ɛ k w ʌ t i n t
aque	a k u a
Aquilla	a k w i l l a
Aquinnah	a k w i n a
Arabi	a l a b i
Arabia	a l a b i a
Aragon	a l a g o n
Arapahoe	a l a p a h o
Ararat	a l a l a t
Arboga	a b o g a
Arborvale	a b o b e i l
Arbuckle	a b ʌ k l
Arcade	a k e i d
Arcadia	a k a d i a
Arcata	a l k a t a
arch	a t i
Archdale	a t i d e i l
Archer	a t ʌ
Archie	a t i
architecture	a k i t e k t ʌ
archive	a k a i b
Arco	a k o
Arcola	a k o l l a
Arcturus	a k t j u l ʌ s
Ardell	a l d e l
Arden	a d n
Ardmore	a d m o ʌ
Arduino	a d u i n o
Aredale	e ʌ d e i l
Arena	a l e n a
Argo	a l g o
argon	a l g o n
Argonia	a g o n i a
Argonne	a l g o n
Argos	a l g o s
Argyle	a g a i l
Ari	a l i
aria	a l i a
Ariel	a l i e l
Arietta	a l i e t a
Arimo	a l i m o
Aripeka	ɛ l i p ʌ k a
Ariton	e l i t o n
Arivaca	a l i b a k a
Arizona	ɛ l i d o n a
Arkansas	a k a n s o
Arkansaw	a k a n s o
Arkdale	a k d e i l
Arkhangelsk	a l h a ŋ g e l s k
Arkoma	a k o m a
Arland	a l l ɛ n d
Arley	a l l i
Arlington	a l l i ŋ t ʌ n
Arma	a l m a
armadillo	a l m a d i l l o
Armel	a l m e l
Armenia	a l m e n i a
Armidale	a m i d e i l
Armilda	a m i l d a
Armour	a m u l
Armstrong	a m s t l o ŋ
Arnegard	a n g a d
Arnett	a n e t
Arnold	a n o l d
Arnott	a n o t
Arock	e i l o k
Arp	a p
Arpin	a p i n
Arrey	ɛ l i
Arriba	a l i b a
Arrington	ɛ l i ŋ t ʌ n
arrive	ʌ l a i b
art	a t
Art	a t
Artesia	a l t e s i a
Artesian	l t e s i a n
Arthur	a s ʌ
Arthurdale	a s ʌ d e i l
Artie	a t i
Artify	a t i p a i
artist	a t i s t
Aruba	a l u b a
Arundel	ɛ l ʌ n d e l
Arvada	a l b a d a
Arvida	a b a i d a
Arvin	a b i n
Arvonia	a b o n i a
Asa	ɛ s a
Asahikawa	a s a h i k a w a
Asbury	ɛ d b e l i
ASCII	a s k i
Asco	ɛ s k o
ase	a s p e n
ASEM	a s e m
Ash	ɛ s w i
Ashburn	ɛ s j u b ʌ n
Ashburnham	ɛ s i b ʌ n h ɛ m
Ashburton	ɛ s j u b ʌ t ʌ n
Ashby	ɛ s i b i
Ashdown	ɛ s i d a u n
Asheboro	ɛ s w i b ʌ l ʌ
Asher	ɛ s j ʌ
Asheville	ɛ s j u b i l
Ashfield	ɛ s i p i l d
Ashford	ɛ s w i p o d
Ashgabat	a s j u h a b a d
Ashland	ɛ s j u l l ɛ n d
Ashley	ɛ s j u l l i
Ashtabula	ɛ s j u t ʌ b j u l l a
Ashton	ɛ s i t ʌ n
Ashville	ɛ s j u b i l
Ashwood	ɛ s w i u d
Asmara	a s m a l a
asparagus	a s p a l a g ʌ s
Aspen	a s p e n
asphalt	a s p a l t
Aspinwall	a s p i n w ʌ l
Aspirin	a s p i l i n
Assaria	a s a l i a
assembler	ʌ s e m b l l ʌ
Assumption	ʌ s ʌ m s j ʌ n
Astana	a s t a n a
astatine	a s t a t i n
Astatula	a s t a t u l l a
Asti	ɛ s t i
Astoria	ɛ s t o l i a
Astrakhan	a s t l a h a n
Asuncion	a s u n s i o n
asus	e i s u s
Atascadero	a t a s k a d e l o
Atchison	ɛ t i s n
Atco	ɛ t k o
Athelstan	ɛ s ʌ l s t ɛ n
Athena	a t e n a
Athens	ɛ s ʌ n s
Atherton	ɛ s ʌ t ʌ n
Athlon	ɛ s l l o n
Athol	ɛ s o l
Atkins	ɛ t k i n s
Atkinson	ɛ t k i n s n
Atlanta	ɛ t l l ɛ n t a
Atlantic	ɛ t l l a n t i k
Atlantis	a t l l a n t i s
Atlas	ɛ t l l a s
Atlee	ɛ t l l i
Atmore	ɛ t m o ʌ
atom	ɛ t o m
attachment	ʌ t ɛ t i m ʌ n t
Attalla	a t a l l a
Attica	ɛ t i k a
Attleboro	ɛ t l b ʌ l o
Atwater	ɛ s w ʌ t ʌ
Atwell	ɛ t w e l
Atwood	ɛ s u d
Aubrey	o b l i
Auburn	o b ʌ n
Auburndale	o b ʌ n d e i l
Aucilla	o s i l l a
Auckland	o k l l ɛ n d
auction	o k s j ʌ n
Auction	o k s j ʌ n
audio	o d i o
audiotex	o d i o t e k s
audiovisual	o d i o b i d u ʌ l
audiphone	o d i p o n
audition	o d i s j ʌ n
Audra	o d l a
Audubon	o d j u b o n
Augsburg	o k s b ʌ g
Augusta	ʌ g ʌ s t a
Augustin	a u g u s t i n
Aulander	o l ɛ n d ʌ
Aulne	o l l n
Ault	o l t
aunt	a n t
Aura	o l a
Aurangabad	a u l a ŋ g a b a d
Aurantia	o l a n s i a
Aurelia	o l i l l i a
aurora	o l o l a
Aurora	o l o l a
Austa	o s t a
Austell	o s t e l
Austerlitz	o s t ʌ l i t
Austin	o s t i n
Austinville	o s t i n b i l
Australia	o s t l e i l l i a
Austria	o s t l i a
authority	o s o l i t i
auto	o t o
AutoCAD	o t o k ɛ d
automat	o t o m e t
automatic	o t o m ɛ t i k
automation	o t o m e i s j ʌ n
Autryville	o t l i b i l
autumn	o t e m
Auvil	o b i l
Ava	e i b a
Avalon	a b a l l o n
Avant	a b a n t
Avard	ɛ b a d
Avatar	a b a t a
Avenal	a b e n a l
Aventura	a b e n t u l a
Avenue	ɛ b i n j u
Avera	ʌ b e l a
Averill	ɛ b ʌ l i l
Avery	e i b ʌ l i
Avilla	a b i l l a
Avoca	a b o k a
avocado	a b o k a d o
Avon	e i b ʌ n
Avondale	ɛ b ʌ n d e i l
Axis	e k s i s
Axtell	ɛ k s t e l
Axton	ɛ k s t ʌ n
Ayden	e i d n
Ayer	a i ʌ
Ayrshire	e ʌ s j ʌ
Azalia	a d a l l i a
Azerbaijan	a d e l b a i d a n
Aztec	a d t e k
Azusa	a d u s a
Azwell	a d w e l
b	p i
Babb	p a p
Babbie	p ɛ b i
Babbitt	p ɛ b i t
Babcock	p ɛ b k o k
Baber	p a b ʌ
baby	p e i b i
Babylon	p a b i l l o n
babysitter	p e i b i s i t ʌ
Bache	p ɛ s i
back	p ɛ k
backbone	p ɛ k p o n
Backoo	p ɛ k k u
backup	p ɛ g ʌ p
Backus	p ɛ k ʌ s
bacon	p e i k ʌ n
Bacova	p a k o b a
bacteria	p a k t e l i a
bad	p ɛ d
Bader	p e i d ʌ
badge	p ɛ d i
Badger	p ɛ d ʌ
Badlands	p ɛ d l l ɛ n d
badminton	p ɛ d m i n t ʌ n
bag	p ɛ k
Bagdad	p a g d a d
Baghdad	p a g d a d
Bagley	p e i g l l i
Bahama	p ʌ h a m a
Bahamas	p a h a m a
Bahia	p a h i a
Bahrain	p a l e i n
Bailey	p e i l l i
Bainbridge	p e i n b l i d i
Bains	p e i n s
Baird	p e ʌ d
Bairnsdale	p e ʌ n d d e i l
Bairoil	p e ʌ o i l
Baker	p e i k ʌ
Bakersfield	p e i k ʌ d p i l d
Bakersville	p e i k ʌ s b i l
Bakerville	p e i k ʌ b i l
bakery	p e i k ʌ l i
BAKU	p a k u
balance	p ɛ l l ʌ n s
Balaton	p ɛ l l ʌ t ʌ n
Balclutha	p ɛ l k l l ʌ s ʌ
Balcom	p a l k o m
balcony	p a l k o n i
Baldwin	p o l d w i n
Balfour	p ɛ l p u ʌ
Bali	p a l l i
Balikpapan	p a l l i k p a p a n
Balko	p a l k o
ball	p o l
ballad	p a l l a d
ballade	p a l l a d
Ballarat	p ɛ l l ʌ l ɛ t
Ballard	p o l l a d
Ballardsville	p a l l a d b i l
Ballengee	p o l l e n d i
Ballentine	p ɛ l l ʌ n t a i n
ballerina	p a l l e l i n a
Ballico	p o l l i k o
Ballinger	p o l l i n d ʌ
Ballwin	p o l w i n
Balm	p a m
Balta	p o l t a
Baltic	p a l t i k
Baltimore	p o l t i m o ʌ
Bamako	p a m a k o
Bamberg	p a m b e l g
banana	p a n a n a
Bancroft	p ɛ n k l o p t
band	p ɛ n d
Bandana	p ɛ n d a n a
Bandon	p ɛ n d ʌ n
Bandung	p a n d u ŋ
Baneberry	p e i n b e l i
Bangalore	p a ŋ g a l l o
Bangkok	p a ŋ k o k
Bangladesh	p a ŋ g l l a d e s i
Bangor	p ɛ ŋ g ʌ
Bangs	p ɛ ŋ s
BANJARMASIN	p a n d a l m a s i n
bank	p ɛ ŋ k
banker	p ɛ ŋ k ʌ
Banks	p ɛ ŋ k s
banner	p ɛ n ʌ
Banner	p ɛ n ʌ
Banning	p ɛ n i ŋ
Banta	p a n t a
Bantry	p ɛ n t l i
BAOTOU	p a o t ʌ u
Baptist	p ɛ p t i s t
bar	p a
barbecue	p a b i k j u
Barbecue	p a b i k j u
barbell	p a b e l
barbercue	p a b e k j u
Barboursville	p a b ʌ s b i l
Barcelona	p a l s e l l o n a
Barclay	p a k l l e i
Barco	p a k o
Bardin	p a d i n
Bardley	p a d l l i
Bardsdale	p a d d e i l
Bardstown	p a d t a u n
barge	p a d i
Bari	p a l i
Baring	p e ʌ l i ŋ
baritone	p a l i t o n
barium	p a l j u m
Barker	p a k ʌ
Barksdale	p a k s d e i l
Barling	p a l l i ŋ
Barlow	p a l o u
Barnabus	p a n a b ʌ s
Barnard	p ʌ n a d
Barnes	p a n s
Barnesville	p a n d b i l
Barnet	p a n e t
Barnett	p a n e t
Barney	p a n i
Barnhart	p a n h a t
Barnstable	p a n s t ʌ b l
Barnstead	p a n s t e d
Barnum	p a n ʌ m
barometer	p a l o m i t ʌ
Baron	p e i l ʌ n
Barrackville	p ɛ l ʌ k p i l
Barre	p a
barrel	p ɛ l ʌ l
Barrett	p a l e t
barricade	p a l i k e i t
Barrie	p e l i
Barrington	p ɛ l i ŋ t ʌ n
Barron	p ɛ l ʌ n
Barrow	p ɛ l o u
Barry	p ɛ l i
Barstow	p a s t o u
bartender	p a t e n d ʌ
Bartle	p a t l
Bartlesville	p a t l d b i l
Bartlett	p a t l l e t
Bartley	p a t l l i
Barton	p a t ʌ n
Bartow	p a t o
Barview	p a b j u
Basalt	p ɛ s o l t
Basco	p ɛ s k o
Bascom	p e s k ʌ m
baseball	p e i s b o l
Basehor	p a s i ʌ
Basel	p a d e l
Bashaw	p a s j o
basic	p e i d i k
BASIC	p e i s i k
Basile	p a s l
Basinger	p e i s i ŋ ʌ
Baskerville	p e s k ʌ b i l
basket	p a s k e t
Basra	p a s l a
bass	p ɛ s
Bass	p ɛ s
Bassett	p a s e t
Bassfield	p ɛ s p i l d
Bastia	p a s t i a
Bastrop	p ɛ s t l o p
bat	p ɛ t
Batam	p a t a m
Batavia	p a t a b i a
Batchelor	p ɛ t ʌ l l ʌ
Bateman	p e i t m ʌ n
Bates	p e i t
Batesville	p e i t b i l
Bath	p ɛ s
bathe	p e i d
Bathurst	p ɛ s ʌ s t
batman	p ɛ t m ɛ n
BATNA	p a t n a
baton	p a t o ŋ
Batoo	p a t u
battalion	p ʌ t ɛ l l i ʌ n
battery	p ɛ t ʌ l i
Battlefield	p ɛ t l p i l d
Battleford	p ɛ t l p ʌ d
Battleground	p e t l g l a u n d
Batumi	p a t u m i
Baud	p o d
Baudette	p o d e t
Baum	p a u m
Baumberg	p o m b ʌ g
Bauxite	p o k s a i t
Bavaria	p a b a l i a
Baxley	p ɛ k s l l i
Baxter	p ɛ k s t ʌ
Bay	p e i
Bayard	p a j a d
Bayfield	p e i p i l d
Bayle	p e i l
Bayonne	p e i o n
Bayport	p e i p o t
Bayside	p e i s a i d
Baytown	p e i t a u n
Bayview	p e i b j u
Baywood	p e i u d
bazaar	p a d a
Bazaar	p a d a
Bazemore	p e i d m o ʌ
Bazine	p a d i n
BBC	p i b i s i
beach	p i t i
Beach	p i t i m a u n t i n
Beachwood	p i t i u d
Beacon	p i k o n
Beaconsfield	p i k o n s p i l d
beaker	p i k ʌ
Beallsville	p i l s b i l
Beals	p i l s
Beaman	p i m ʌ n
Beamon	p i m o n
Beamsville	p i m s b i l
Bearcreek	p e ʌ k l i k
Beard	p i ʌ d
Bearden	p i ʌ d n
Beardsley	p i ʌ d l l i
Beardstown	p i ʌ d t a u n
bearing	p e ʌ l i ŋ
Beartown	p e ʌ t a u n
Beasley	p i s l l i
Beason	p i s n
Beatrice	p e a t l i t e
Beattie	p i t i
Beatty	p i t i
Beaty	p i t i
Beaufort	p o p ʌ t
Beaumont	p o m o n t
Beauregard	p o l g a d
beauty	p j u t i
Beauty	p j u t i
beaver	p i b ʌ
Beaver	p i b ʌ
Beavercreek	p i b ʌ k l i k
Beaverdam	p i b ʌ d ɛ m
Beaverton	p i b ʌ t ʌ n
Bebe	p e b e
Bebee	p i b i
Beck	p e k
Becker	p e k ʌ
Becket	p e k i t
Beckley	p e k l l i
Beckwith	p e g w i s
Beda	p e d a
Beddington	p e d i ŋ t ʌ n
Bedford	p e d p ʌ d
Bedrock	p e d l o k
Bee	p i
Beebe	p i b
Beecher	p i t ʌ
Beechville	p i t i b i l
Beechwood	p i t i u d
Beekmantown	p i k m ʌ n t a u n
Beeler	p i l l ʌ
beer	p i l u
Beetles	p i t l d
before	p i p o
Beggs	p e k s
begin	p i g i n
behind	p i h a i n d
beige	p e i d i
Beijing	p e i d i ŋ
Beira	p e i l a
Beirut	p e i l u t
Belcher	p e l t ʌ
Belchertown	p e l t ʌ t a u n
Belding	p e l d i ŋ
Belen	p e l l e n
Belfair	p e l p e ʌ
Belfast	p e l p a s t
Belfield	p e l p i l d
Belfry	p e l p l i
Belgique	p e l d i k
Belgium	p e l d i u m
Belgrade	p e o g l a d
Belgreen	p e l g l i n
Belhaven	p e l h e i b n
believe	p i l l i b
Belington	p e l l i ŋ t ʌ n
Belize	p e l l i d
Belk	p e l k
bell	p e l
Bell	p e l
Bellaire	p e l l a l
Bellbrook	p e l b l u k
Belle	p e l
Belleair	p e l e ʌ
Bellefontaine	p e l p o n t e i n
Bellefonte	p e l p o n t
Belleview	p e l b j u
Belleville	p e l b i l
Bellevue	p e l b j u
Bellflower	p e l p l l a w ʌ
Bellingham	p e l l i ŋ h ɛ m
Belltown	p e l t a u n
Bellvue	p e l b j u
Bellwood	p e l u d
Belmond	p e l m o n d
Belmont	p e l m o n t
Belmore	p e l m o ʌ
Beloit	p e l l o i t
Belpre	p e l p l i
Belshaw	p e l s j o
belt	p e l t
Belton	p e l t ʌ n
Beltrami	p e l t l a m i
Belva	p e l b ʌ
Belvedere	p e l b e d e l e
Belvidere	p e l b i d i ʌ
Belvoir	p e l b u a
Belvue	p e l b j u
Belwood	p e l u d
Belzoni	p e l d o n i
Bemidji	p e m i d i
Bena	p e n a
bench	p e n t i
Bend	p e n d
Bendavis	p e n d a b i s
Bendena	p e n d e n a
Bendigo	p e n d i g o
Benedict	p e n e d i k t
Bengal	p e ŋ g o l
Benge	p e n d i
Benham	p e n h ʌ m
Benicia	p e n i s i a
Benin	p e n i n
Benjamin	p e n d a m i n
